ID,Response
50883,1.0
50884,1.0
50885,0.0
50886,0.0
50887,0.0
50888,0.0
50889,0.0
50890,1.0
50891,1.0
50892,1.0
50893,0.0
50894,0.0
50895,0.0
50896,0.0
50897,0.0
50898,0.0
50899,0.0
50900,0.0
50901,0.0
50902,0.0
50903,0.0
50904,0.0
50905,1.0
50906,0.0
50907,0.0
50908,0.0
50909,0.0
50910,0.0
50911,0.0
50912,0.0
50913,0.0
50914,1.0
50915,0.0
50916,0.0
50917,1.0
50918,0.0
50919,0.0
50920,0.0
50921,0.0
50922,0.0
50923,0.0
50924,0.0
50925,0.0
50926,0.0
50927,1.0
50928,1.0
50929,0.0
50930,0.0
50931,0.0
50932,1.0
50933,0.0
50934,0.0
50935,0.0
50936,1.0
50937,1.0
50938,0.0
50939,1.0
50940,0.0
50941,1.0
50942,1.0
50943,0.0
50944,0.0
50945,1.0
50946,1.0
50947,0.0
50948,0.0
50949,0.0
50950,0.0
50951,1.0
50952,1.0
50953,0.0
50954,0.0
50955,0.0
50956,0.0
50957,0.0
50958,0.0
50959,0.0
50960,1.0
50961,0.0
50962,0.0
50963,0.0
50964,0.0
50965,1.0
50966,0.0
50967,0.0
50968,0.0
50969,0.0
50970,0.0
50971,0.0
50972,0.0
50973,0.0
50974,0.0
50975,0.0
50976,1.0
50977,0.0
50978,1.0
50979,0.0
50980,1.0
50981,0.0
50982,0.0
50983,1.0
50984,0.0
50985,0.0
50986,0.0
50987,0.0
50988,0.0
50989,0.0
50990,0.0
50991,0.0
50992,1.0
50993,0.0
50994,0.0
50995,0.0
50996,0.0
50997,0.0
50998,0.0
50999,0.0
51000,0.0
51001,0.0
51002,0.0
51003,1.0
51004,1.0
51005,0.0
51006,1.0
51007,1.0
51008,1.0
51009,0.0
51010,0.0
51011,1.0
51012,0.0
51013,1.0
51014,0.0
51015,0.0
51016,0.0
51017,0.0
51018,0.0
51019,0.0
51020,1.0
51021,1.0
51022,0.0
51023,0.0
51024,0.0
51025,0.0
51026,0.0
51027,0.0
51028,0.0
51029,0.0
51030,0.0
51031,1.0
51032,0.0
51033,0.0
51034,0.0
51035,1.0
51036,0.0
51037,1.0
51038,1.0
51039,0.0
51040,0.0
51041,0.0
51042,0.0
51043,0.0
51044,0.0
51045,0.0
51046,0.0
51047,0.0
51048,0.0
51049,0.0
51050,1.0
51051,1.0
51052,1.0
51053,0.0
51054,0.0
51055,1.0
51056,0.0
51057,0.0
51058,1.0
51059,1.0
51060,1.0
51061,1.0
51062,1.0
51063,0.0
51064,1.0
51065,0.0
51066,1.0
51067,0.0
51068,0.0
51069,0.0
51070,0.0
51071,0.0
51072,0.0
51073,0.0
51074,0.0
51075,0.0
51076,0.0
51077,1.0
51078,0.0
51079,0.0
51080,0.0
51081,0.0
51082,0.0
51083,0.0
51084,0.0
51085,0.0
51086,0.0
51087,0.0
51088,0.0
51089,0.0
51090,0.0
51091,0.0
51092,0.0
51093,0.0
51094,0.0
51095,0.0
51096,0.0
51097,0.0
51098,0.0
51099,1.0
51100,1.0
51101,1.0
51102,0.0
51103,0.0
51104,0.0
51105,1.0
51106,0.0
51107,0.0
51108,0.0
51109,1.0
51110,0.0
51111,0.0
51112,1.0
51113,0.0
51114,0.0
51115,0.0
51116,0.0
51117,0.0
51118,0.0
51119,0.0
51120,1.0
51121,0.0
51122,0.0
51123,1.0
51124,0.0
51125,0.0
51126,0.0
51127,0.0
51128,0.0
51129,0.0
51130,0.0
51131,0.0
51132,0.0
51133,1.0
51134,0.0
51135,1.0
51136,1.0
51137,0.0
51138,0.0
51139,1.0
51140,0.0
51141,0.0
51142,0.0
51143,0.0
51144,0.0
51145,0.0
51146,0.0
51147,0.0
51148,0.0
51149,0.0
51150,0.0
51151,0.0
51152,0.0
51153,0.0
51154,1.0
51155,0.0
51156,0.0
51157,0.0
51158,0.0
51159,0.0
51160,0.0
51161,1.0
51162,0.0
51163,0.0
51164,0.0
51165,0.0
51166,0.0
51167,0.0
51168,0.0
51169,0.0
51170,1.0
51171,0.0
51172,0.0
51173,0.0
51174,0.0
51175,1.0
51176,0.0
51177,1.0
51178,0.0
51179,1.0
51180,1.0
51181,0.0
51182,1.0
51183,0.0
51184,0.0
51185,1.0
51186,0.0
51187,1.0
51188,0.0
51189,1.0
51190,0.0
51191,0.0
51192,1.0
51193,0.0
51194,1.0
51195,0.0
51196,1.0
51197,0.0
51198,1.0
51199,0.0
51200,1.0
51201,1.0
51202,0.0
51203,1.0
51204,0.0
51205,0.0
51206,0.0
51207,0.0
51208,0.0
51209,0.0
51210,0.0
51211,1.0
51212,0.0
51213,0.0
51214,0.0
51215,0.0
51216,0.0
51217,0.0
51218,0.0
51219,0.0
51220,0.0
51221,0.0
51222,0.0
51223,0.0
51224,1.0
51225,0.0
51226,0.0
51227,1.0
51228,0.0
51229,0.0
51230,0.0
51231,1.0
51232,0.0
51233,0.0
51234,0.0
51235,0.0
51236,0.0
51237,0.0
51238,0.0
51239,1.0
51240,0.0
51241,0.0
51242,1.0
51243,0.0
51244,1.0
51245,1.0
51246,0.0
51247,0.0
51248,0.0
51249,0.0
51250,0.0
51251,0.0
